Photo_ID,Species_name,Tooth,Diet,Habitat,Extinct_Extant,IUCN
A_edwardsi_UM.APC_1,Archaeolemur_edwardsi,UL,fruit,grassland,extinct,extinct
A_edwardsi_UM.APC_2,Archaeolemur_edwardsi,UR,fruit,grassland,extinct,extinct
A_edwardsi_UM.APC_3,Archaeolemur_edwardsi,LL,fruit,grassland,extinct,extinct
A_edwardsi_UM.APC_4,Archaeolemur_edwardsi,LR,fruit,grassland,extinct,extinct
A_laniger_AMNH_100635_1,Avahi_laniger,UL,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_100635_2,Avahi_laniger,UR,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_100635_3,Avahi_laniger,TC,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_100635_4,Avahi_laniger,LL,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_100635_5,Avahi_laniger,LR,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_100637_1,Avahi_laniger,UL,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_100637_2,Avahi_laniger,UR,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_100637_3,Avahi_laniger,LR,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_170494_1,Avahi_laniger,UL,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_170494_2,Avahi_laniger,UR,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_170494_3,Avahi_laniger,LL,leaves,wet_forest,extant,vulnerable
A_laniger_AMNH_170494_4,Avahi_laniger,LR,leaves,wet_forest,extant,vulnerable
A_majori_NHMV_1934_IV_II_1,Archaeolemur_majori,LL,fruit,mixed,extinct,extinct
A_majori_Paris_1906.16_1,Archaeolemur_majori,LR,fruit,mixed,extinct,extinct
A_majori_UM.ADCC_166_1,Archaeolemur_majori,UR,fruit,mixed,extinct,extinct
A_majori_UM.ADCC_169_1,Archaeolemur_majori,LR,fruit,mixed,extinct,extinct
A_majori_UM.ADCC_1906.16_1,Archaeolemur_majori,LL,fruit,mixed,extinct,extinct
A_majori_UM.ADCC_1906.16_2,Archaeolemur_majori,LR,fruit,mixed,extinct,extinct
A_majori_UM.ADCC_238_1,Archaeolemur_majori,LR,fruit,mixed,extinct,extinct
A_majori_UM.ADCC_749_1,Archaeolemur_majori,UR,fruit,mixed,extinct,extinct
A_majori_UM.ADCC_750_1,Archaeolemur_majori,UL,fruit,mixed,extinct,extinct
A_majori_UM.ADCC_uncatalogued_1,Archaeolemur_majori,LR,fruit,mixed,extinct,extinct
A_majori_UM.APC_1,Archaeolemur_majori,LL,fruit,mixed,extinct,extinct
A_majori_UM.APC_2,Archaeolemur_majori,LR,fruit,mixed,extinct,extinct
Archaeolemur_DPC_10851_1,Archaeolemur,LL,fruit,grassland,extinct,extinct
Archaeolemur_DPC_10852_1,Archaeolemur,LL,fruit,grassland,extinct,extinct
Archaeolemur_DPC_10852_2,Archaeolemur,LR,fruit,grassland,extinct,extinct
Archaeolemur_DPC_10903_1,Archaeolemur,LL,fruit,grassland,extinct,extinct
Archaeolemur_DPC_10903_2,Archaeolemur,LR,fruit,grassland,extinct,extinct
Archaeolemur_DPC_11830_1,Archaeolemur,UL,fruit,grassland,extinct,extinct
Archaeolemur_DPC_11830_2,Archaeolemur,LL,fruit,grassland,extinct,extinct
Archaeolemur_DPC_11830_3,Archaeolemur,LR,fruit,grassland,extinct,extinct
Archaeolemur_DPC_12878_1,Archaeolemur,UL,fruit,grassland,extinct,extinct
Archaeolemur_DPC_12878_2,Archaeolemur,UR,fruit,grassland,extinct,extinct
Archaeolemur_DPC_12878_3,Archaeolemur,LR,fruit,grassland,extinct,extinct
Archaeolemur_DPC_12881_1,Archaeolemur,UR,fruit,grassland,extinct,extinct
Archaeolemur_DPC_12881_2,Archaeolemur,LL,fruit,grassland,extinct,extinct
Archaeolemur_DPC_12881_3,Archaeolemur,LR,fruit,grassland,extinct,extinct
Archaeolemur_DPC_20704_1,Archaeolemur,LL,fruit,grassland,extinct,extinct
B_radofilai_DPC_25345_1,Babakotia_radofilai,UL,fruit,dry_forest,extinct,extinct
B_radofilai_DPC_25345_2,Babakotia_radofilai,UR,fruit,dry_forest,extinct,extinct
B_radofilai_UM.ADCC_271_1,Babakotia_radofilai,LR,fruit,dry_forest,extinct,extinct
B_radofilai_UM.ADCC_273_1,Babakotia_radofilai,LR,fruit,dry_forest,extinct,extinct
B_radofilai_UM.ADCC_280_1,Babakotia_radofilai,UR,fruit,dry_forest,extinct,extinct
B_radofilai_UM.APC_1,Babakotia_radofilai,LR,fruit,dry_forest,extinct,extinct
Babakotia_DPC_2_1,Babakotia_radofilai,LL,fruit,dry_forest,extinct,extinct
Babakotia_DPC_3_1,Babakotia_radofilai,LL,fruit,dry_forest,extinct,extinct
Babakotia_DPC_4_1,Babakotia_radofilai,UL,fruit,dry_forest,extinct,extinct
Babakotia_DPC_4_2,Babakotia_radofilai,UR,fruit,dry_forest,extinct,extinct
Babakotia_DPC_1,Babakotia_radofilai,UR,fruit,dry_forest,extinct,extinct
C_medius_AMNH_100652_1,Cheirogaleus_medius,UL,fruit,mixed,extant,least_concern
C_medius_AMNH_100652_2,Cheirogaleus_medius,UR,fruit,mixed,extant,least_concern
C_medius_AMNH_100652_3,Cheirogaleus_medius,TC,fruit,mixed,extant,least_concern
C_medius_AMNH_100652_4,Cheirogaleus_medius,LL,fruit,mixed,extant,least_concern
C_medius_AMNH_100652_5,Cheirogaleus_medius,LR,fruit,mixed,extant,least_concern
C_medius_AMNH_100654_1,Cheirogaleus_medius,UL,fruit,mixed,extant,least_concern
C_medius_AMNH_100654_2,Cheirogaleus_medius,UR,fruit,mixed,extant,least_concern
C_medius_AMNH_100654_3,Cheirogaleus_medius,TC,fruit,mixed,extant,least_concern
C_medius_AMNH_100654_4,Cheirogaleus_medius,LL,fruit,mixed,extant,least_concern
C_medius_AMNH_100654_5,Cheirogaleus_medius,LR,fruit,mixed,extant,least_concern
C_medius_AMNH_196618_1,Cheirogaleus_medius,UL,fruit,mixed,extant,least_concern
C_medius_AMNH_196618_2,Cheirogaleus_medius,UR,fruit,mixed,extant,least_concern
C_medius_AMNH_196618_3,Cheirogaleus_medius,TC,fruit,mixed,extant,least_concern
C_medius_AMNH_196618_4,Cheirogaleus_medius,LL,fruit,mixed,extant,least_concern
C_medius_AMNH_196618_5,Cheirogaleus_medius,LR,fruit,mixed,extant,least_concern
C_medius_DPC_31_1,Cheirogaleus_medius,UL,fruit,mixed,extant,least_concern
C_medius_DPC_31_2,Cheirogaleus_medius,UR,fruit,mixed,extant,least_concern
C_medius_DPC_31_3,Cheirogaleus_medius,TC,fruit,mixed,extant,least_concern
C_medius_DPC_31_4,Cheirogaleus_medius,LL,fruit,mixed,extant,least_concern
C_medius_DPC_31_5,Cheirogaleus_medius,LR,fruit,mixed,extant,least_concern
C_medius_DPC_34_1,Cheirogaleus_medius,UL,fruit,mixed,extant,least_concern
C_medius_DPC_34_2,Cheirogaleus_medius,UR,fruit,mixed,extant,least_concern
C_medius_DPC_34_3,Cheirogaleus_medius,LL,fruit,mixed,extant,least_concern
C_medius_DPC_34_4,Cheirogaleus_medius,LR,fruit,mixed,extant,least_concern
D_madagascariensis_AMNH_100632_1,Daubentonia_madagascariensis,UL,omnivore,mixed,extant,na
D_madagascariensis_AMNH_100632_2,Daubentonia_madagascariensis,UR,omnivore,mixed,extant,na
D_madagascariensis_AMNH_100632_3,Daubentonia_madagascariensis,TC,omnivore,mixed,extant,na
D_madagascariensis_AMNH_100632_4,Daubentonia_madagascariensis,LL,omnivore,mixed,extant,na
D_madagascariensis_AMNH_100632_5,Daubentonia_madagascariensis,LR,omnivore,mixed,extant,na
D_madagascariensis_AMNH_41334_1,Daubentonia_madagascariensis,UL,omnivore,mixed,extant,na
D_madagascariensis_AMNH_41334_2,Daubentonia_madagascariensis,UR,omnivore,mixed,extant,na
D_madagascariensis_AMNH_41334_3,Daubentonia_madagascariensis,TC,omnivore,mixed,extant,na
D_madagascariensis_AMNH_41334_4,Daubentonia_madagascariensis,LL,omnivore,mixed,extant,na
D_madagascariensis_AMNH_41334_5,Daubentonia_madagascariensis,LR,omnivore,mixed,extant,na
E_collaris_AMNH_170749_1,Eulemur_collaris,UL,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170749_2,Eulemur_collaris,UR,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170749_3,Eulemur_collaris,TC,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170749_4,Eulemur_collaris,LL,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170749_5,Eulemur_collaris,LR,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170766_1,Eulemur_collaris,UL,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170766_2,Eulemur_collaris,UR,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170766_3,Eulemur_collaris,TC,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170766_4,Eulemur_collaris,LL,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170766_5,Eulemur_collaris,LR,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170773_1,Eulemur_collaris,UL,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170773_2,Eulemur_collaris,UR,fruit,wet_forest,extant,endangered
E_collaris_AMNH_170773_3,Eulemur_collaris,TC,fruit,wet_forest,extant,endangered
